"TIME","GEO","SEX","UNIT","Value","Flag and Footnotes"
"2020W02","AT111","Insgesamt","Anzahl","11","p"
"2020W02","AT111","Männer","Anzahl","6","p"
"2020W02","AT111","Frauen","Anzahl","5","p"
"2020W02","AT112","Insgesamt","Anzahl","47","p"
"2020W02","AT112","Männer","Anzahl","20","p"
"2020W02","AT112","Frauen","Anzahl","27","p"
"2020W02","AT113","Insgesamt","Anzahl","19","p"
"2020W02","AT113","Männer","Anzahl","3","p"
"2020W02","AT113","Frauen","Anzahl","16","p"
"2020W02","AT121","Insgesamt","Anzahl","51","p"
"2020W02","AT121","Männer","Anzahl","22","p"
"2020W02","AT121","Frauen","Anzahl","29","p"
"2020W02","AT122","Insgesamt","Anzahl","51","p"
"2020W02","AT122","Männer","Anzahl","31","p"
"2020W02","AT122","Frauen","Anzahl","20","p"
"2020W02","AT123","Insgesamt","Anzahl","36","p"
"2020W02","AT123","Männer","Anzahl","17","p"
"2020W02","AT123","Frauen","Anzahl","19","p"
"2020W02","AT124","Insgesamt","Anzahl","62","p"
"2020W02","AT124","Männer","Anzahl","32","p"
"2020W02","AT124","Frauen","Anzahl","30","p"
"2020W02","AT125","Insgesamt","Anzahl","37","p"
"2020W02","AT125","Männer","Anzahl","17","p"
"2020W02","AT125","Frauen","Anzahl","20","p"
"2020W02","AT126","Insgesamt","Anzahl","71","p"
"2020W02","AT126","Männer","Anzahl","28","p"
"2020W02","AT126","Frauen","Anzahl","43","p"
"2020W02","AT127","Insgesamt","Anzahl","82","p"
"2020W02","AT127","Männer","Anzahl","48","p"
"2020W02","AT127","Frauen","Anzahl","34","p"
"2020W02","AT130","Insgesamt","Anzahl","324","p"
"2020W02","AT130","Männer","Anzahl","160","p"
"2020W02","AT130","Frauen","Anzahl","164","p"
"2020W02","AT211","Insgesamt","Anzahl","48","p"
"2020W02","AT211","Männer","Anzahl","19","p"
"2020W02","AT211","Frauen","Anzahl","29","p"
"2020W02","AT212","Insgesamt","Anzahl","33","p"
"2020W02","AT212","Männer","Anzahl","17","p"
"2020W02","AT212","Frauen","Anzahl","16","p"
"2020W02","AT213","Insgesamt","Anzahl","31","p"
"2020W02","AT213","Männer","Anzahl","19","p"
"2020W02","AT213","Frauen","Anzahl","12","p"
"2020W02","AT221","Insgesamt","Anzahl","80","p"
"2020W02","AT221","Männer","Anzahl","33","p"
"2020W02","AT221","Frauen","Anzahl","47","p"
"2020W02","AT222","Insgesamt","Anzahl","13","p"
"2020W02","AT222","Männer","Anzahl","5","p"
"2020W02","AT222","Frauen","Anzahl","8","p"
"2020W02","AT223","Insgesamt","Anzahl","50","p"
"2020W02","AT223","Männer","Anzahl","24","p"
"2020W02","AT223","Frauen","Anzahl","26","p"
"2020W02","AT224","Insgesamt","Anzahl","50","p"
"2020W02","AT224","Männer","Anzahl","18","p"
"2020W02","AT224","Frauen","Anzahl","32","p"
"2020W02","AT225","Insgesamt","Anzahl","34","p"
"2020W02","AT225","Männer","Anzahl","13","p"
"2020W02","AT225","Frauen","Anzahl","21","p"
"2020W02","AT226","Insgesamt","Anzahl","34","p"
"2020W02","AT226","Männer","Anzahl","17","p"
"2020W02","AT226","Frauen","Anzahl","17","p"
"2020W02","AT311","Insgesamt","Anzahl","57","p"
"2020W02","AT311","Männer","Anzahl","19","p"
"2020W02","AT311","Frauen","Anzahl","38","p"
"2020W02","AT312","Insgesamt","Anzahl","106","p"
"2020W02","AT312","Männer","Anzahl","43","p"
"2020W02","AT312","Frauen","Anzahl","63","p"
"2020W02","AT313","Insgesamt","Anzahl","31","p"
"2020W02","AT313","Männer","Anzahl","15","p"
"2020W02","AT313","Frauen","Anzahl","16","p"
"2020W02","AT314","Insgesamt","Anzahl","32","p"
"2020W02","AT314","Männer","Anzahl","18","p"
"2020W02","AT314","Frauen","Anzahl","14","p"
"2020W02","AT315","Insgesamt","Anzahl","33","p"
"2020W02","AT315","Männer","Anzahl","20","p"
"2020W02","AT315","Frauen","Anzahl","13","p"
"2020W02","AT321","Insgesamt","Anzahl","2","p"
"2020W02","AT321","Männer","Anzahl","2","p"
"2020W02","AT321","Frauen","Anzahl","0","p"
"2020W02","AT322","Insgesamt","Anzahl","30","p"
"2020W02","AT322","Männer","Anzahl","20","p"
"2020W02","AT322","Frauen","Anzahl","10","p"
"2020W02","AT323","Insgesamt","Anzahl","54","p"
"2020W02","AT323","Männer","Anzahl","25","p"
"2020W02","AT323","Frauen","Anzahl","29","p"
"2020W02","AT331","Insgesamt","Anzahl","6","p"
"2020W02","AT331","Männer","Anzahl","2","p"
"2020W02","AT331","Frauen","Anzahl","4","p"
"2020W02","AT332","Insgesamt","Anzahl","50","p"
"2020W02","AT332","Männer","Anzahl","30","p"
"2020W02","AT332","Frauen","Anzahl","20","p"
"2020W02","AT333","Insgesamt","Anzahl","7","p"
"2020W02","AT333","Männer","Anzahl","3","p"
"2020W02","AT333","Frauen","Anzahl","4","p"
"2020W02","AT334","Insgesamt","Anzahl","16","p"
"2020W02","AT334","Männer","Anzahl","8","p"
"2020W02","AT334","Frauen","Anzahl","8","p"
"2020W02","AT335","Insgesamt","Anzahl","58","p"
"2020W02","AT335","Männer","Anzahl","28","p"
"2020W02","AT335","Frauen","Anzahl","30","p"
"2020W02","AT341","Insgesamt","Anzahl","19","p"
"2020W02","AT341","Männer","Anzahl","11","p"
"2020W02","AT341","Frauen","Anzahl","8","p"
"2020W02","AT342","Insgesamt","Anzahl","37","p"
"2020W02","AT342","Männer","Anzahl","18","p"
"2020W02","AT342","Frauen","Anzahl","19","p"
"2020W03","AT111","Insgesamt","Anzahl","10","p"
"2020W03","AT111","Männer","Anzahl","4","p"
"2020W03","AT111","Frauen","Anzahl","6","p"
"2020W03","AT112","Insgesamt","Anzahl","31","p"
"2020W03","AT112","Männer","Anzahl","12","p"
"2020W03","AT112","Frauen","Anzahl","19","p"
"2020W03","AT113","Insgesamt","Anzahl","16","p"
"2020W03","AT113","Männer","Anzahl","7","p"
"2020W03","AT113","Frauen","Anzahl","9","p"
"2020W03","AT121","Insgesamt","Anzahl","71","p"
"2020W03","AT121","Männer","Anzahl","29","p"
"2020W03","AT121","Frauen","Anzahl","42","p"
"2020W03","AT122","Insgesamt","Anzahl","59","p"
"2020W03","AT122","Männer","Anzahl","41","p"
"2020W03","AT122","Frauen","Anzahl","18","p"
"2020W03","AT123","Insgesamt","Anzahl","33","p"
"2020W03","AT123","Männer","Anzahl","17","p"
"2020W03","AT123","Frauen","Anzahl","16","p"
"2020W03","AT124","Insgesamt","Anzahl","68","p"
"2020W03","AT124","Männer","Anzahl","29","p"
"2020W03","AT124","Frauen","Anzahl","39","p"
"2020W03","AT125","Insgesamt","Anzahl","31","p"
"2020W03","AT125","Männer","Anzahl","16","p"
"2020W03","AT125","Frauen","Anzahl","15","p"
"2020W03","AT126","Insgesamt","Anzahl","57","p"
"2020W03","AT126","Männer","Anzahl","30","p"
"2020W03","AT126","Frauen","Anzahl","27","p"
"2020W03","AT127","Insgesamt","Anzahl","74","p"
"2020W03","AT127","Männer","Anzahl","41","p"
"2020W03","AT127","Frauen","Anzahl","33","p"
"2020W03","AT130","Insgesamt","Anzahl","380","p"
"2020W03","AT130","Männer","Anzahl","159","p"
"2020W03","AT130","Frauen","Anzahl","221","p"
"2020W03","AT211","Insgesamt","Anzahl","63","p"
"2020W03","AT211","Männer","Anzahl","37","p"
"2020W03","AT211","Frauen","Anzahl","26","p"
"2020W03","AT212","Insgesamt","Anzahl","33","p"
"2020W03","AT212","Männer","Anzahl","19","p"
"2020W03","AT212","Frauen","Anzahl","14","p"
"2020W03","AT213","Insgesamt","Anzahl","29","p"
"2020W03","AT213","Männer","Anzahl","12","p"
"2020W03","AT213","Frauen","Anzahl","17","p"
"2020W03","AT221","Insgesamt","Anzahl","86","p"
"2020W03","AT221","Männer","Anzahl","36","p"
"2020W03","AT221","Frauen","Anzahl","50","p"
"2020W03","AT222","Insgesamt","Anzahl","18","p"
"2020W03","AT222","Männer","Anzahl","7","p"
"2020W03","AT222","Frauen","Anzahl","11","p"
"2020W03","AT223","Insgesamt","Anzahl","37","p"
"2020W03","AT223","Männer","Anzahl","13","p"
"2020W03","AT223","Frauen","Anzahl","24","p"
"2020W03","AT224","Insgesamt","Anzahl","67","p"
"2020W03","AT224","Männer","Anzahl","35","p"
"2020W03","AT224","Frauen","Anzahl","32","p"
"2020W03","AT225","Insgesamt","Anzahl","44","p"
"2020W03","AT225","Männer","Anzahl","21","p"
"2020W03","AT225","Frauen","Anzahl","23","p"
"2020W03","AT226","Insgesamt","Anzahl","24","p"
"2020W03","AT226","Männer","Anzahl","12","p"
"2020W03","AT226","Frauen","Anzahl","12","p"
"2020W03","AT311","Insgesamt","Anzahl","42","p"
"2020W03","AT311","Männer","Anzahl","17","p"
"2020W03","AT311","Frauen","Anzahl","25","p"
"2020W03","AT312","Insgesamt","Anzahl","102","p"
"2020W03","AT312","Männer","Anzahl","53","p"
"2020W03","AT312","Frauen","Anzahl","49","p"
"2020W03","AT313","Insgesamt","Anzahl","38","p"
"2020W03","AT313","Männer","Anzahl","20","p"
"2020W03","AT313","Frauen","Anzahl","18","p"
"2020W03","AT314","Insgesamt","Anzahl","41","p"
"2020W03","AT314","Männer","Anzahl","20","p"
"2020W03","AT314","Frauen","Anzahl","21","p"
"2020W03","AT315","Insgesamt","Anzahl","48","p"
"2020W03","AT315","Männer","Anzahl","24","p"
"2020W03","AT315","Frauen","Anzahl","24","p"
"2020W03","AT321","Insgesamt","Anzahl","2","p"
"2020W03","AT321","Männer","Anzahl","2","p"
"2020W03","AT321","Frauen","Anzahl","0","p"
"2020W03","AT322","Insgesamt","Anzahl","30","p"
"2020W03","AT322","Männer","Anzahl","20","p"
"2020W03","AT322","Frauen","Anzahl","10","p"
"2020W03","AT323","Insgesamt","Anzahl","70","p"
"2020W03","AT323","Männer","Anzahl","31","p"
"2020W03","AT323","Frauen","Anzahl","39","p"
"2020W03","AT331","Insgesamt","Anzahl","7","p"
"2020W03","AT331","Männer","Anzahl","5","p"
"2020W03","AT331","Frauen","Anzahl","2","p"
"2020W03","AT332","Insgesamt","Anzahl","66","p"
"2020W03","AT332","Männer","Anzahl","30","p"
"2020W03","AT332","Frauen","Anzahl","36","p"
"2020W03","AT333","Insgesamt","Anzahl","5","p"
"2020W03","AT333","Männer","Anzahl","2","p"
"2020W03","AT333","Frauen","Anzahl","3","p"
"2020W03","AT334","Insgesamt","Anzahl","15","p"
"2020W03","AT334","Männer","Anzahl","8","p"
"2020W03","AT334","Frauen","Anzahl","7","p"
"2020W03","AT335","Insgesamt","Anzahl","45","p"
"2020W03","AT335","Männer","Anzahl","17","p"
"2020W03","AT335","Frauen","Anzahl","28","p"
